id,kepler_name,kepid,predicted_2022,class_2022,class_2025,probability,error
candidate_668,K02055.02,3128552,1.0,CANDIDATE,CONFIRMED,0.85373604,0
candidate_669,K02055.03,3128552,0.0,CANDIDATE,CONFIRMED,0.00030522665,1
candidate_676,K06100.01,3229028,0.0,CANDIDATE,FALSE POSITIVE,3.2844143e-13,0
candidate_678,K02150.01,3229150,1.0,CANDIDATE,CONFIRMED,0.99918455,0
candidate_686,K01106.01,3240158,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_687,K01106.02,3240158,0.0,CANDIDATE,CONFIRMED,0.0005856127,1
candidate_690,K01101.01,3245969,1.0,CANDIDATE,CONFIRMED,0.9999994,0
candidate_697,K01845.01,3338885,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_698,K01845.02,3338885,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_711,K01198.01,3447722,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_712,K01198.02,3447722,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_713,K01198.03,3447722,1.0,CANDIDATE,CONFIRMED,0.99999905,0
candidate_727,K04535.01,3547760,1.0,CANDIDATE,FALSE POSITIVE,0.9999994,1
candidate_729,K02194.01,3548044,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_730,K02194.02,3548044,1.0,CANDIDATE,CONFIRMED,0.9998981,0
candidate_738,K03440.01,3559860,1.0,CANDIDATE,CONFIRMED,0.9999814,0
candidate_740,K00492.01,3559935,0.0,CANDIDATE,CONFIRMED,0.00044019037,1
candidate_742,K03398.01,3561464,1.0,CANDIDATE,CONFIRMED,0.99998975,0
candidate_743,K03398.02,3561464,0.0,CANDIDATE,CONFIRMED,2.453009e-09,1
candidate_746,K06103.01,3634051,0.0,CANDIDATE,CONFIRMED,3.877837e-08,1
candidate_748,K04385.01,3645438,1.0,CANDIDATE,CONFIRMED,0.9999988,0
candidate_749,K04385.02,3645438,0.0,CANDIDATE,CONFIRMED,7.8440036e-28,1
candidate_759,K02261.01,3734418,1.0,CANDIDATE,CONFIRMED,0.99050915,0
candidate_761,K04103.01,3747817,0.0,CANDIDATE,CONFIRMED,0.0,1
candidate_789,K04084.01,3937814,0.0,CANDIDATE,CONFIRMED,0.0,1
candidate_813,K01336.01,4077526,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_814,K01336.02,4077526,1.0,CANDIDATE,CONFIRMED,0.9999994,0
candidate_815,K01336.03,4077526,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_816,K01336.04,4077526,0.0,CANDIDATE,CONFIRMED,1.4518225e-05,1
candidate_817,K01319.01,4078157,1.0,CANDIDATE,FALSE POSITIVE,0.61245495,1
candidate_825,K01860.01,4157325,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_826,K01860.02,4157325,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_827,K01860.03,4157325,1.0,CANDIDATE,CONFIRMED,0.9909587,0
candidate_830,K03864.01,4164922,0.0,CANDIDATE,CONFIRMED,1.4599376e-10,1
candidate_835,K02172.01,4173026,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_836,K02172.02,4173026,0.0,CANDIDATE,CONFIRMED,0.0,1
candidate_858,K02303.01,4458082,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_859,K02303.02,4458082,1.0,CANDIDATE,CONFIRMED,0.99999964,0
candidate_861,K01338.01,4466677,1.0,CANDIDATE,CONFIRMED,0.99999213,0
candidate_866,K03878.01,4472818,0.0,CANDIDATE,CONFIRMED,4.2280172e-32,1
candidate_870,K00626.01,4478168,1.0,CANDIDATE,CONFIRMED,0.9999815,0
candidate_875,K04157.01,4548098,1.0,CANDIDATE,CONFIRMED,0.99996984,0
candidate_884,K03437.01,4645174,1.0,CANDIDATE,CONFIRMED,0.9999819,0
candidate_886,K02393.01,4665571,1.0,CANDIDATE,CONFIRMED,0.9999999,0
candidate_887,K02393.02,4665571,0.0,CANDIDATE,CONFIRMED,2.9894864e-10,1
candidate_891,K03184.01,4735826,1.0,CANDIDATE,CONFIRMED,0.9995889,0
candidate_892,K03184.02,4735826,0.0,CANDIDATE,CONFIRMED,0.0014604498,1
candidate_894,K01996.01,4736569,1.0,CANDIDATE,CONFIRMED,0.99476093,0
candidate_913,K01475.01,4770365,1.0,CANDIDATE,CONFIRMED,0.992033,0
candidate_914,K01475.02,4770365,1.0,CANDIDATE,CONFIRMED,1.0,0
candidate_915,K01475.03,4770365,0.0,CANDIDATE,CONFIRMED,0.0016581209,1
candidate_923,K02739.01,4831728,1.0,CANDIDATE,CONFIRMED,1.0,0
